Question,Answer,Source
What are some applications of Cardano?,"Applications of the Cardano blockchain include:

In 2018, IOHK signed a memorandum of understanding with the government of Ethiopia to consider the use of Cardano in its coffee supply chain.[38] The partnership with the Ethiopian government also investigate other ways to deploy Cardano in the country.[39]
In 2019, the Ministry of Education in the country of Georgia signed a memorandum of understanding with the Free University of Tbilisi to use Cardano and Atala, IOHK's decentralized identity software, to build a credential verification system for Georgia.[40]
In 2019, New Balance announced a pilot program on the Cardano blockchain so buyers could track the authenticity of OMN1S Kawhi Leonard basketball shoes.[41]
In April 2021, IOHK and the Ethiopia Ministry of Education announced plans for an identity and record-keeping system on Cardano and Atala for the country's five million school pupils.[42]
In 2021, Hoskinson began working with electronic dance music DJ Paul Oakenfold to release an album, Zombie Lobster, on the Cardano blockchain.[43]
In 2021, IOHK and Dish Network announced a collaboration to investigate the use of distributed ledger technology.[44]
The Cardano blockchain was cited in Quartz as having the potential to help citizens in Zanzibar, Ethiopia, and Burundi get digital IDs.[45]
World Mobile Token (WMT), a project built on Cardano, offers remote mobile network access in Africa with approximately 150 nodes in East Africa (2022). Mark Cuban is cited as being skeptical about the project and Cardano adoption.[46]
In 2023, a Ghanaian startup named ""Mazzuma"" received funding from the Adaverse, a Cardano ecosystem accelerator. MassumaGPT aims to use AI in its contract creation platform.[47]",https://en.wikipedia.org/wiki/Cardano_(blockchain_platform)
What is Tron?,"TRON is a decentralized, blockchain-based operating system with smart contract functionality, proof-of-stake principles as its consensus algorithm and a cryptocurrency native to the system, known as Tronix (TRX). It was established in March 2014 by Justin Sun and since 2017 has been overseen and supervised by the TRON Foundation, a non-profit organization[citation needed] in Singapore, established in the same year. It is open-source software.

It was originally an Ethereum-based ERC-20 token, which switched its protocol to its own blockchain in 2018. On some cryptocurrency wallets, users can't withdraw their funds until they have enough amount for the network fee.",https://en.wikipedia.org/wiki/Tron_(cryptocurrency)
Detail information of Tron,"Original author(s)	Justin Sun
Developer(s)	TRON-Foundation Ltd.
Initial release	25 July 2018; 6 years ago
Development status	Active
Written in	Java
Platform	Tron
Available in	Multilingual, but primarily English
Type	Distributed computing
License	Open-source licenses
Website	tron.network",https://en.wikipedia.org/wiki/Tron_(cryptocurrency)
History of Tron,"TRON was founded by Justin Sun in 2017.[1] The TRON Foundation was established in July 2017 in Singapore. The TRON Foundation raised $70 million in 2017 through an initial coin offering shortly before China outlawed the digital tokens.[2] The testnet, Blockchain Explorer, and Web Wallet were all launched by March 2018. TRON Mainnet launched shortly afterward in May 2018, marking the Odyssey 2.0 release as a technical milestone for TRON.

In June 2018, TRON switched its protocol from an ERC-20 token on top of Ethereum to an independent peer-to-peer network.[citation needed] On 25 July 2018, the TRON Foundation announced it had finished the acquisition of BitTorrent, a peer-to-peer file sharing service.[3] Upon this acquisition, in August 2018, BitTorrent Founder Bram Cohen also disclosed that he was leaving the company to found a separate cryptocurrency, Chia.[4]

By January 2019, TRON had a total market cap of about $1.6 bn.[5] Despite this market performance, some authors viewed TRON as a typical case of the complex and disordered nature of cryptocurrencies.[6][7] In February 2019, after being acquired by TRON Foundation, BitTorrent started its own token sale based on the TRON network.[8][9]

In late 2021, Justin Sun resigned as CEO of the TRON Foundation, which was subsequently reorganized as a DAO.[citation needed]

In March 2023, Sun and Tron were sued by the U.S. Securities and Exchange Commission for selling unregistered securities related to the sale and promotion of Tronix (TRX) and BitTorrent (BBT) tokens, alleging that Sun and Tron had engaged in wash trading in the secondary market for TRX in order to buoy its price.[10][11][12] Eight celebrities, including Akon, Ne-Yo, Austin Mahone, Soulja Boy, Lindsay Lohan, Jake Paul and Lil Yachty, were charged with promoting these cryptocurrencies without disclosing that they were sponsored, with all those other than Soulja Boy, and Mahone settling with the FTC for more than $400,000, without admitting or denying the charges.[13][14][10]

In Febaruary 2024, Circle announced it would stop supporting USDC token on the Tron network.[15][16]

In September 2024, TRON, Tether, and TRM Labs announced the T3 Financial Crime Unit (T3 FCU), an initiative aimed at addressing illicit activities involving the use of USDT on the TRON blockchain.[17]",https://en.wikipedia.org/wiki/Tron_(cryptocurrency)
Architecture and System of Tron,"TRON adopts a 3-layer architecture divided into storage layer, core layer, and application layer. The TRON protocol adheres to Google protocol buffers, which intrinsically supports multi-language extension.[citation needed]

The TRON protocol, maintained primarily by the TRON Foundation, distributes computing resources equally among TRX holders with internal pricing mechanisms such as bandwidth and energy.[18] TRON provides a decentralized virtual machine, which can execute a program using an international network of public nodes. The network has zero transaction fees and conducts approximately 2,000 transactions per second.[19][non-primary source needed]

The implementations of TRON require minimal transaction fees in order to prevent malicious users from performing DDoS attacks for free. In this respect, EOS.IO and TRON are quite similar, due to the negligible fees, high transactions per second, and high reliability, and as such are regarded as a new generation of blockchain systems.[20] Michael Borkowski, Marten Sigwart, Philipp Frauenthaler, Taneli Hukkinen and Stefan Schulte defined TRON as an Ethereum clone, with no fundamental differences.[21] The transactions per second rate on Tron's blockchain was questioned because it was far below its theoretical claim.[22]",https://en.wikipedia.org/wiki/Tron_(cryptocurrency)
What are some criticisms of Tron?,"In January 2018, via a Tweet, Juan Benet, the CEO at Protocol Labs, revealed that the white paper of TRON copied portions of the white papers from IPFSbot and MineFilecoin, without a single reference.[23] Researchers from Digital Asset Research (DAR) discovered multiple instances of code copied from other projects in the Tron code base. It is also accused of violating the GNU Lesser General Public License v3.0 (LGPL) because the project does not mention that its client was derived from EthereumJ, a Java implementation of Ethereum. These accusations were denied by the TRON Foundation, the organization behind the design of the system.[24]

In May 2019, the cyber-security testing service HackerOne revealed[25] that just one computer could have brought TRON's entire blockchain to a halt.[26] The revelation showed that a barrage of requests sent by a single PC could be used to squeeze the power of the blockchain's CPU, overload the memory, and perform a distributed denial-of-service (DDoS) attack.[27]

In November 2023, the TRON network was used by various terrorist organizations, including Hamas, Hezbollah, and Palestinian Islamic Jihad.[28] The TRON DAO released a statement emphasizing their support for the UN°Kô¢s stance against malicious actors in the blockchain space, but disputing the claim that TRON, Ethereum or similar decentralized protocols may exercise direct control over those who leverage this open-source technology.[29]
",https://en.wikipedia.org/wiki/Tron_(cryptocurrency)
ABI,"Application Binary Interface, is represented in JSON format and specifies how to encode and decode data from a particular smart contract.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Access List,(see Allowlist for the definition),https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Address,A unique set of alphanumeric characters that refers to a specific storage slot on a network you can use to send and receive cryptocurrency.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Airdrop,"The distribution of tokens directly to users' wallets by crypto projects often for meeting certain participation criteria (i.e., being active in a community, holding a certain number or type of token(s), holding a token for a certain period of time).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Algorand,"A layer 1 blockchain founded in 2019 that utilizes the Proof of Stake (PoS) consensus mechanism. Its native token is ALGO and is used for staking and paying transaction fees. Its networks include MainNet, TestNet, and BetaNet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Algorithm,A set of rules/instructions used to solve a problem or conduct a computation.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Allowlist,Pre-approved list of users or wallets that are allowed to perform some restricted action (e.g. withdrawal funds only to wallets on the Allow List).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Alpha - Insights,Early insights or information about a project or opportunity that the rest of the market hasn't found out about yet.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Alpha - Version,The first version or look of a product released by their team.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Altcoin,Shorthand for ??lternative coins??and simply means cryptocurrencies other than Bitcoin and Ethereum.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Anchor,Programming language for Solana Programs.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Ape,"To rush (""ape in"") and invest heavily into a token without much knowledge of the asset.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
API,Application Programming Interface is a connection between two computers that allows them to communicate with each other. It also specifies how two software components should interact.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Arbitrum,"A layer 2 scaling solution for Ethereum that was founded in 2019. It utilizes ETH to pay for transaction fees, and its networks include Arbitrum Mainnet and Rinkeby Testnet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Archive Nodes,Node that has data since genesis block.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ATH,All-time high (record for the highest sale price of a token).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ATL,All-time low (record for the lowest sale price of a token).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Auction,A sales event where buyers place a bid on an asset or service.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Authority,"The entity who is able to sign a transaction on chain to make changes to an on-chain program, token account, etc.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Avalanche,A layer 1 blockchain founded in 2020 that is built on Proof of Stake (PoS). It's native token is called AVAX. Its network include Mainnet and Fuji (Supported by QuickNode!).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Bear Market,An extended period of time when a market's price decreases.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Beta - Version,The early version of an app or a program. It is usually a version of a program that is made available for testing and getting user feedback.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Bid Price,The highest amount a buyer is willing to pay for a cryptocurrency token or NFT.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
BNB Smart Chain,"Originally named Binance Smart Chain, BNB Smart Chain is a layer 1 blockchain founded in 2020 which runs parallel with the Binance Chain. It utilizes the Proof of Staked Authority (or PoSA) consensus mechanism, and its native token, called BNB, is used for staking and paying transaction fees. Its networks include BSC Mainnet and BSC Testnet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Binary code,A two-symbol (0 and 1) system that represents a text or any other data.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Bitcoin,The first ever cryptocurrency on a Proof of Work (PoW) blockchain which was created in 2009 by Satoshi Nakomoto (a pseudonymous person).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Block,"A block in a blockchain network is like a link in a chain. In the field of cryptocurrency, blocks resemble records that store valid transactions like a page of a record book and are hashed and encrypted into a hash tree or Merkle tree.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Block Explorer,A website/tool that allows users to browse information about blocks and transactions on a specific blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Block Size,The amount of data regarding a transaction that a single block can carry.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Block Time,The average time miners or validators take to create a new block.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Blockchain,"A distributed database that is shared among the nodes of a computer network. As a database, a blockchain stores information electronically in digital format.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Bridge,"A bridge connects two chains and allows NFT, tokens, and other arbitrary data to be transferred between them.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
BUIDL,"A term derived from the word ""Build,"" which is similar to the term ""HODL,"" and refers to the building and contributing to the blockchain and cryptocurrency ecosystem.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Bull Market,A financial market in which prices are increasing or are expected to rise.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Burn,To destroy or remove one or more tokens out of supply.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
CC0,"""No Rights Reserved"" option in the Creative Commons toolkit - waiving all copyright and similar rights and dedicating those to the public domain so that others may add, modify, or otherwise freely build upon the work without restriction.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Celo,A layer 1 blockchain founded in 2020 that is built on Proof of Stake (PoS) that is designed to support stable coins. It's native token is called CGLD. Its primary network is MainNet (Supported by QuickNode!).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
CEX,"Centralized Exchange, an off-chain program for buying, selling, trading, or swapping on-chain assets.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Cloud,A network of servers that can be accessed over the internet.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Cluster,Set of validators collaborating to process transactions and maintain ledger integrity.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Coin,A single unit of currency that can be traded or exchanged.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Cold Wallet,"A wallet that is offline, hardware, or paper, not connected to the internet in any way and usually air-gapped.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
